Category,Subcategory,Item Name,ItemID,Catalog ID,Contract ID,contract total value,contract start date,contract end date,contract term,PurchaseID,User Name,UserID,Supplier Name,SupplierID,PurchaseDate,DeliveryDate,Quantity,Unit Price,TotalCost,CostCenter,GLAccount,Currency,Budget Owner,Budget,Budget Available,Department,Role,Country,Contact Number,Email,Rating,Avg Delivery Time,Lead Time,Reliability Score,Description,Specifications
Photography Equipment,Digital Camera,Olympus OM-D E-M1 Mark III,I207,,CNT001,100412.93,7/2/2024,7/2/2025,1 years,PO1204,Jennifer Benson,US192,"Taylor, Smith and Co",SUP100,1/1/2024,1/15/2024,4,150.11,600.44,CC162,GL20012,USD,April Snyder,1500000,1499683.12,Finance,Procurement Manager,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,"The Olympus OM-D E-M1 Mark III is a rugged mirrorless camera with a 20.4MP sensor and 4K video recording, perfect for outdoor photography.","Specs: 20.4MP Micro Four Thirds sensor, 4K video, 18fps burst, weather-sealed."
Audio Equipment,Sound System,Peavey Escort 3000,I218,,CNT002,1926099.87,7/2/2024,7/2/2026,2 years,PO1205,Lori Jones,US102,Green-Robinson,SUP101,4/1/2024,4/6/2024,16,235.3,3764.8,CC171,GL20021,USD,Jennifer Bates,5000000,4998612.16,Warehouse,Employee,Japan,+81 1654376654,green-robinson@gmail.com,2.6,9,12,1.13,"The Peavey Escort 3000 is a portable PA system with built-in mixer and speakers, perfect for small to medium-sized events.","Specs: 300W power, 10-channel mixer, 2x15-inch speakers, lightweight design."
Servers & Data Centers,Server,Lenovo ThinkSystem SR650,I234,,CNT004,6869.09,7/2/2024,7/2/2026,2 years,PO1206,Jaime Crawford,US191,Brown and Sons,SUP103,1/28/2024,2/5/2024,1,85.94,85.94,CC165,GL20015,USD,April Snyder,5000000,4999917.12,Finance,Employee,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,"The Lenovo ThinkSystem SR650 is a high-performance server with flexible storage and advanced reliability features, designed for data-intensive applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, up to 16 NVMe drives."
HVAC Systems,Air Conditioning Unit,Haier ESAQ406T,I228,,CNT001,263661.71,7/2/2024,7/2/2025,1 years,PO1207,Joshua Wood,US101,"Taylor, Smith and Co",SUP100,2/15/2024,3/16/2024,6,66.88,401.28,CC180,GL20030,USD,Sean Green,1500000,1499486.52,Marketing,Department Head,Brazil,+55 4551244952,taylorsmithandco@gmail.com,2.91,9,12,1.86,The Haier ESAQ406T is a quiet window air conditioner with 6050 BTU cooling capacity and energy-saving features.,"Specs: 6,050 BTU, 11.2 EER, energy saver mode, remote control."
Servers & Data Centers,Server,HPE ProLiant DL380 Gen10,I233,,CNT010,69632.65,7/2/2024,7/2/2025,1 years,PO1208,Jack Edwards,US145,Hill-Lopez,SUP109,5/30/2024,5/31/2024,6,204.45,1226.7,CC165,GL20015,USD,April Snyder,5000000,4999736.12,Finance,Employee,India,+91 3937587667,hill-lopez@gmail.com,2.88,6,11,2.38,"The HPE ProLiant DL380 Gen10 is a versatile server with high performance and advanced security features, perfect for enterprise applications.","Specs: Up to 2x Intel Xeon Scalable CPUs, 24 DDR4 DIMM slots, HPE Silicon Root of Trust."
Navigation & Tracking,GPS Tracking Device,Bouncie GPS Car Tracker,I188,,CNT011,65070.91,7/2/2024,7/2/2027,3 years,PO1209,Steven Gibbs,US196,Gonzalez Inc,SUP110,3/16/2024,3/29/2024,11,57.74,635.14,CC152,GL20002,USD,Kimberly Maynard,1500000,1499744.91,Maintenance,Procurement Manager,Brazil,+55 6704278326,gonzalezinc@gmail.com,3.27,9,13,3.88,"The Bouncie GPS Car Tracker provides real-time tracking with driving insights and roadside assistance, ideal for vehicle monitoring.","Specs: Real-time tracking, driving insights, roadside assistance, geofencing."
Audio Equipment,Sound System,Behringer Europort PPA500BT,I220,,CNT013,1610056.45,7/2/2024,7/2/2026,2 years,PO1210,Joe Meyer,US133,Lewis-Williams,SUP112,1/9/2024,2/1/2024,17,250.69,4261.73,CC179,GL20029,USD,Sean Green,5000000,4998731.12,Marketing,Employee,Brazil,+55 7452780962,lewis-williams@gmail.com,3.33,7,9,2.51,"The Behringer Europort PPA500BT is a portable PA system with Bluetooth connectivity and high-quality sound, perfect for small events.","Specs: 500W power, 8-inch woofer, 3-channel mixer, Bluetooth streaming."
Audio Equipment,Sound System,Mackie Thump15A,I217,,CNT006,257475.06,7/2/2024,7/2/2027,3 years,PO1211,Michael Gomez,US141,"Parker, Clark and Peterson",SUP105,4/12/2024,4/27/2024,18,92.43,1663.74,CC187,GL20037,USD,Robin Lopez,5000000,4999492.58,Assembly,Employee,UK,+44 2531987928,parkerclarkandpeterson@gmail.com,4.79,9,10,3.2,"The Mackie Thump15A is a powerful and affordable powered speaker with deep bass and clear sound, ideal for DJs and live bands.","Specs: 300W power, 15-inch woofer, 2-way powered speaker, lightweight design."
Navigation & Tracking,GPS Tracking Device,Tile Pro,I186,,CNT008,289723.83,7/2/2024,7/2/2025,1 years,PO1212,Natalie Powers,US107,Martin-White,SUP107,1/18/2024,2/14/2024,6,126.37,758.22,CC152,GL20002,USD,Kimberly Maynard,1500000,1499461.74,Maintenance,Procurement Manager,China,+86 6305666875,martin-white@gmail.com,2.16,10,15,4.22,"The Tile Pro is a Bluetooth tracker with a loud ring and long-range, perfect for keeping track of personal items.","Specs: 400 ft range, 1-year battery, loud 119 dB ring, iOS/Android app."
Audio Equipment,Sound System,RCF EVOX J8,I221,,CNT004,1331254.44,7/2/2024,7/2/2027,3 years,PO1213,Donna Patrick,US167,Brown and Sons,SUP103,4/19/2024,5/2/2024,18,154.69,2784.42,CC163,GL20013,USD,April Snyder,5000000,4998846.2,Finance,Employee,UK,+44 6013776014,brownandsons@gmail.com,3.16,8,12,4.27,"The RCF EVOX J8 is a compact line array speaker system with powerful sound and easy portability, ideal for live performances.","Specs: 1400W power, 8x3.5-inch drivers, DSP processing, lightweight design."
